to,link_capacity_gbps,traffic_in_mbps,traffic_out_mbps,traffic_in_gbps,traffic_out_gbps
geant,400.0,48360.0,24100.0,48.36,24.1
cern,400.0,10130.0,17640.0,10.13,17.64
swissix,200.0,11310.0,17610.0,11.31,17.61
interxion,200.0,110680.0,22690.0,110.68,22.69
amazon,100.0,20790.0,8200.0,20.79,8.2
telia,100.0,4410.0,2009.9999999999998,4.41,2.01
microsoft,100.0,10580.0,11900.0,10.58,11.9
lumen,100.0,638.81,490.71,0.63881,0.49071
level3,100.0,1070.0,939.44,1.07,0.93944
init7,100.0,1850.0,1130.0,1.85,1.13
gtt,100.0,1100.0,1850.0,1.1,2.85
google,100.0,13790.0,7370.0,13.79,7.37
akamai,100.0,17940.0,390.09,17.94,0.39009
decix,100.0,25060.0,5450.0,25.06,5.45
colt,100.0,1120.0,1140.0,1.12,1.14
cixp,100.0,4540.0,3830.0,4.54,3.83
cernlight,100.0,15720.0,7810.0,15.72,7.81
belwue2,100.0,5060.0,5420.0,5.06,14.42
arelion,100.0,4410.0,2009.9999999999998,4.41,2.01
amsix,100.0,5010.0,898.03,5.01,0.89803
swisscom,20.0,5970.0,8020.0,5.97,8.02
facebook,10.0,6950.0,380.81,6.95,0.38081
equinix,10.0,5370.0,2920.0,5.37,2.92
cogent,10.0,1270.0,550.67,1.27,0.55067
liberty global,10.0,550.43,770.0,0.55043,0.77
tix,10.0,4850.0,2780.0,4.85,2.78
